xflr5 v6.47

Plane name :        Plane Name
Polar name :        T2-VLM2-0.5kg-x-0.2m-z-0.0m-Inviscid

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    9.100     0.000   1.019703  -0.009932   0.000000  -0.009932   0.000000  -0.000000  -2.518759  -0.000000  -0.000000    5.4655     0.1876
    9.500     0.000   1.056249  -0.010629   0.000000  -0.010629   0.000000  -0.000000  -2.604971  -0.000000  -0.000000    5.3702     0.1873
    9.600     0.000   1.065379  -0.010807   0.000000  -0.010807   0.000000  -0.000000  -2.626464  -0.000000  -0.000000    5.3471     0.1873
   10.000     0.000   1.101878  -0.011531   0.000000  -0.011531   0.000000  -0.000000  -2.712187  -0.000000  -0.000000    5.2578     0.1870
   10.100     0.000   1.110996  -0.011715   0.000000  -0.011715   0.000000  -0.000000  -2.733554  -0.000000  -0.000000    5.2362     0.1869
   10.500     0.000   1.147446  -0.012465   0.000000  -0.012465   0.000000  -0.000000  -2.818762  -0.000000  -0.000000    5.1523     0.1867
   10.600     0.000   1.156552  -0.012655   0.000000  -0.012655   0.000000  -0.000000  -2.839997  -0.000000  -0.000000    5.1320     0.1866
   11.000     0.000   1.192950  -0.013430   0.000000  -0.013430   0.000000  -0.000000  -2.924663  -0.000000  -0.000000    5.0531     0.1864
   11.100     0.000   1.202042  -0.013627   0.000000  -0.013627   0.000000  -0.000000  -2.945760  -0.000000  -0.000000    5.0340     0.1863
   11.500     0.000   1.238387  -0.014427   0.000000  -0.014427   0.000000  -0.000000  -3.029860  -0.000000  -0.000000    4.9596     0.1861
   11.600     0.000   1.247466  -0.014630   0.000000  -0.014630   0.000000  -0.000000  -3.050812  -0.000000  -0.000000    4.9415     0.1861
   12.000     0.000   1.283755  -0.015454   0.000000  -0.015454   0.000000  -0.000000  -3.134319  -0.000000  -0.000000    4.8711     0.1859
   12.100     0.000   1.292820  -0.015663   0.000000  -0.015663   0.000000  -0.000000  -3.155120  -0.000000  -0.000000    4.8540     0.1858
   12.500     0.000   1.329052  -0.016511   0.000000  -0.016511   0.000000  -0.000000  -3.238009  -0.000000  -0.000000    4.7874     0.1856
   12.600     0.000   1.338102  -0.016726   0.000000  -0.016726   0.000000  -0.000000  -3.258652  -0.000000  -0.000000    4.7712     0.1856
   13.000     0.000   1.374273  -0.017596   0.000000  -0.017596   0.000000  -0.000000  -3.340899  -0.000000  -0.000000    4.7080     0.1854
   13.100     0.000   1.383309  -0.017817   0.000000  -0.017817   0.000000  -0.000000  -3.361378  -0.000000  -0.000000    4.6926     0.1854
   13.500     0.000   1.419418  -0.018710   0.000000  -0.018710   0.000000  -0.000000  -3.442956  -0.000000  -0.000000    4.6325     0.1852
   13.600     0.000   1.428438  -0.018936   0.000000  -0.018936   0.000000  -0.000000  -3.463265  -0.000000  -0.000000    4.6179     0.1851
   14.000     0.000   1.464483  -0.019850   0.000000  -0.019850   0.000000  -0.000000  -3.544150  -0.000000  -0.000000    4.5607     0.1850
   14.100     0.000   1.473486  -0.020082   0.000000  -0.020082   0.000000  -0.000000  -3.564282  -0.000000  -0.000000    4.5467     0.1849
   14.500     0.000   1.509466  -0.021018   0.000000  -0.021018   0.000000  -0.000000  -3.644450  -0.000000  -0.000000    4.4922     0.1848
   14.600     0.000   1.518452  -0.021254   0.000000  -0.021254   0.000000  -0.000000  -3.664400  -0.000000  -0.000000    4.4789     0.1847
   15.000     0.000   1.554363  -0.022210   0.000000  -0.022210   0.000000  -0.000000  -3.743825  -0.000000  -0.000000    4.4268     0.1846
   15.100     0.000   1.563332  -0.022452   0.000000  -0.022452   0.000000  -0.000000  -3.763587  -0.000000  -0.000000    4.4141     0.1845
   15.500     0.000   1.599172  -0.023427   0.000000  -0.023427   0.000000  -0.000000  -3.842246  -0.000000  -0.000000    4.3644     0.1844
   15.600     0.000   1.608123  -0.023674   0.000000  -0.023674   0.000000  -0.000000  -3.861813  -0.000000  -0.000000    4.3522     0.1844
   16.000     0.000   1.643891  -0.024668   0.000000  -0.024668   0.000000  -0.000000  -3.939682  -0.000000  -0.000000    4.3046     0.1842
   16.100     0.000   1.652824  -0.024919   0.000000  -0.024919   0.000000  -0.000000  -3.959048  -0.000000  -0.000000    4.2930     0.1842
   16.500     0.000   1.688516  -0.025932   0.000000  -0.025932   0.000000  -0.000000  -4.036103  -0.000000  -0.000000    4.2473     0.1841
   16.600     0.000   1.697430  -0.026188   0.000000  -0.026188   0.000000  -0.000000  -4.055263  -0.000000  -0.000000    4.2362     0.1840
   17.000     0.000   1.733046  -0.027218   0.000000  -0.027218   0.000000  -0.000000  -4.131480  -0.000000  -0.000000    4.1924     0.1839
   17.100     0.000   1.741940  -0.027478   0.000000  -0.027478   0.000000  -0.000000  -4.150428  -0.000000  -0.000000    4.1817     0.1839
   17.500     0.000   1.777476  -0.028525   0.000000  -0.028525   0.000000  -0.000000  -4.225785  -0.000000  -0.000000    4.1397     0.1837
   17.600     0.000   1.786350  -0.028788   0.000000  -0.028788   0.000000  -0.000000  -4.244514  -0.000000  -0.000000    4.1294     0.1837
   18.000     0.000   1.821804  -0.029851   0.000000  -0.029851   0.000000  -0.000000  -4.318987  -0.000000  -0.000000    4.0890     0.1836
   18.100     0.000   1.830658  -0.030119   0.000000  -0.030119   0.000000  -0.000000  -4.337493  -0.000000  -0.000000    4.0791     0.1835
   18.500     0.000   1.866028  -0.031197   0.000000  -0.031197   0.000000  -0.000000  -4.411060  -0.000000  -0.000000    4.0403     0.1834
   18.600     0.000   1.874860  -0.031468   0.000000  -0.031468   0.000000  -0.000000  -4.429337  -0.000000  -0.000000    4.0308     0.1834
   19.000     0.000   1.910145  -0.032560   0.000000  -0.032560   0.000000  -0.000000  -4.501975  -0.000000  -0.000000    3.9934     0.1833
   19.100     0.000   1.918955  -0.032835   0.000000  -0.032835   0.000000  -0.000000  -4.520016  -0.000000  -0.000000    3.9842     0.1832
   19.500     0.000   1.954151  -0.033941   0.000000  -0.033941   0.000000  -0.000000  -4.591704  -0.000000  -0.000000    3.9481     0.1831
   19.600     0.000   1.962939  -0.034219   0.000000  -0.034219   0.000000  -0.000000  -4.609505  -0.000000  -0.000000    3.9393     0.1831
   20.000     0.000   1.998044  -0.035337   0.000000  -0.035337   0.000000  -0.000000  -4.680219  -0.000000  -0.000000    3.9045     0.1830
