xflr5 v6.47

Plane name :        Plane Name
Polar name :        T2-VLM2-0.5kg-x-0.2m-z-0.0m-Inviscid

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.000     0.000   0.643253  -0.004074   0.000000  -0.004074   0.000000  -0.000000  -1.616650  -0.000000  -0.000000    6.8814     0.1922
    5.500     0.000   0.689318  -0.004658   0.000000  -0.004658   0.000000  -0.000000  -1.728141  -0.000000  -0.000000    6.6475     0.1914
    6.000     0.000   0.735345  -0.005279   0.000000  -0.005279   0.000000  -0.000000  -1.839291  -0.000000  -0.000000    6.4361     0.1907
    6.500     0.000   0.781331  -0.005936   0.000000  -0.005936   0.000000  -0.000000  -1.950067  -0.000000  -0.000000    6.2439     0.1900
    7.000     0.000   0.827274  -0.006630   0.000000  -0.006630   0.000000  -0.000000  -2.060434  -0.000000  -0.000000    6.0680     0.1895
    7.500     0.000   0.873171  -0.007360   0.000000  -0.007360   0.000000  -0.000000  -2.170359  -0.000000  -0.000000    5.9064     0.1890
    8.000     0.000   0.919019  -0.008126   0.000000  -0.008126   0.000000  -0.000000  -2.279808  -0.000000  -0.000000    5.7572     0.1885
    8.500     0.000   0.964817  -0.008926   0.000000  -0.008926   0.000000  -0.000000  -2.388749  -0.000000  -0.000000    5.6189     0.1881
    9.000     0.000   1.010561  -0.009761   0.000000  -0.009761   0.000000  -0.000000  -2.497148  -0.000000  -0.000000    5.4902     0.1877
    9.500     0.000   1.056249  -0.010629   0.000000  -0.010629   0.000000  -0.000000  -2.604971  -0.000000  -0.000000    5.3702     0.1873
   10.000     0.000   1.101878  -0.011531   0.000000  -0.011531   0.000000  -0.000000  -2.712187  -0.000000  -0.000000    5.2578     0.1870
   10.500     0.000   1.147446  -0.012465   0.000000  -0.012465   0.000000  -0.000000  -2.818762  -0.000000  -0.000000    5.1523     0.1867
   11.000     0.000   1.192950  -0.013430   0.000000  -0.013430   0.000000  -0.000000  -2.924663  -0.000000  -0.000000    5.0531     0.1864
   11.500     0.000   1.238387  -0.014427   0.000000  -0.014427   0.000000  -0.000000  -3.029860  -0.000000  -0.000000    4.9596     0.1861
   12.000     0.000   1.283755  -0.015454   0.000000  -0.015454   0.000000  -0.000000  -3.134319  -0.000000  -0.000000    4.8711     0.1859
   12.500     0.000   1.329052  -0.016511   0.000000  -0.016511   0.000000  -0.000000  -3.238009  -0.000000  -0.000000    4.7874     0.1856
